235,All India Anna Dravida Munnetra Kazhagam,Votes,Dravida Munnetra Kazhagam,Votes,Indian National Congress,Votes,Bharatiya Janata Party,Votes,Desiya Murpokku Dravida Kazhagam,Votes,Bahujan Samaj Party,Votes,Naam Tamilar Katchi,Votes,Pattali Makkal Katchi,Votes,Indiya Jananayaka Katchi,Votes,Kongunadu Makkal Desia Katchi,Votes,Communist Party of India  (Marxist-Leninist)  (Liberation),Votes,Rashtriya Samaj Paksha,Votes,None of the Above,Votes,Youth And Students Party,Votes,Gokula Makkal Katchi,Votes,Viduthalai Chiruthaigal Katchi,Votes,Vijaya Bharatha Makkal (People) Party,Votes,Lok Jan Shakti Party,Votes,Vidiyalai Thedum Indhiyargal Party,Votes,Marumalarchi Dravida Munnetra Kazhagam,Votes,Shivsena,Votes,Samata Party,Votes,Communist Party of India  (Marxist),Votes,Nationalist Congress Party,,Valamaana Tamizhagam Katchi,,People's Party of India(secular),,Communist Party of India,Votes,The Future India Party,Votes,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Votes,Republican Party of India (A),Votes,Anbu Udhayam Katchi,Votes,Jebamani Janata,Votes,Makkalatchi Katchi,Votes,All India Women United Party,Votes,SOCIAL DEMOCRATIC PARTY OF INDIA,Votes,Jan Shakti Dal,Votes,Tamil Maanila Congress  (Moopanar),Votes,Gandhiya Makkal Iyakkam,Votes,Desiya Makkal Sakthi Katchi,Votes,Eluchi Desam Party,Votes,Christian Democratic Front,Votes,Tamilaga Sthabana Congress,Votes,Gandhiyan Peoples Party,Votes,Makkal Manadu Katchi,Votes,Thozhilalar Party,Votes,Akhila India Jananayaka Makkal Katchi (Dr. Isaac),Votes,All India Pattali Munnetra Katchi,Votes,Samajwadi Party,Votes,Bharat Pensioner's Front,Votes,Ulzaipali Makkal Katchy,Votes,Namadhu Makkal Katchi,Votes,Ganasangam Party of India,Votes,All Peoples Party,Votes,Indian Union Muslim League,Votes,All India Majlis-E-Ittehadul Muslimeen,Votes,Welfare Party Of India,Votes,Manithaneya Makkal Katchi,Votes,Sunder Samaj Party,Votes,United Communist Party of India,Votes,Puratchikara Thozilalar Katchi,Votes,Forward Democratic Labour Party,Votes,Republican Sena,Votes,Tamilar Makkal Katchi,Votes,Janata Dal  (Secular),Votes,Valimai Valartchi Indians Party,Votes,Republican Party of India,Votes,Sainik Samaj Party,Votes,Janata Dal  (United),Votes,Samuga Makkal Katchi,Votes,India Dravida Makkal Munnetra Katchi,Votes,Tamilaga Makkal Munnetra Kazhagam,Votes,India Makkal Munnetra Katchi,Votes,All India Forward Bloc,Votes,Indian Christian Front,Votes,Tamizhaga Vaazhvurimai Katchi,Votes,Puthiya Tamilagam,Votes,All India Forward Bloc  (Subhasist),Votes,Ezhuchi Tamilargal Munnetra Kazhagam,Votes,Anaithu Makkal Munnetra Kazhagam,Votes,"Makkal Sananayaga Kudiyarasu Katchi,",Votes,Rashtriya Janata Dal,Votes,Rashtriya Janta Party,Votes,Samajwadi Samaj Party,Votes,Socialistic Democratic Party,Votes,Makkal Kootamaipu Katchi,Votes,Jammu & Kashmir National Panthers Party,Votes,Desa Makkal Munnetrak Kazhgam,Votes,Democratic Party of India,Votes,Akhil Bharat Hindu Mahasabha,Votes,Democratic Corruption Liberation Front,Votes,Communist Party of India (Marxist-Leninist) Red Star,Votes,Ind Vote,Ind Count,First,Second,Third,Third-vote,Fourth,Fourth-vote,Fifth,Sixth,Margin,Margin ratio,Vote split,ADMK+,DMK+,DMDK+,BJP+,PMK,NTK,Margin - others,Total
Tittagudi (SC),AYYASAMY P,62927,GANESAN V,65139,,,,,SASI KUMAR S,14657,KOLANJI K,619,UMAITHURAI T,760,ARCHUNAN E,11438,KALAIYARASAN J,281,,,,,,,None of the Above,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2398,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,14657,Pattali Makkal Katchi,11438,Independent,Naam Tamilar Katchi,2212,1.38%,Third,39.29%,40.67%,9.15%,0.18%,7.14%,0.47%,-18.67%,160176
Vridhachalam,KALAISELVAN V T,72611,GOVINDASAMY P,58834,,,,,MUTHUKUMAR V,18563,REGO AMBROSE A,248,SIVARAJ S,844,TAMIZHARASI P DR,29340,SELLADURAI C,509,,,,,,,None of the Above,2255,,,,,,,,,,,BHARATHI D,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHAKKARAVARTHI P R,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1533,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Pattali Makkal Katchi,29340,Desiya Murpokku Dravida Kazhagam,18563,Naam Tamilar Katchi,Independent,13777,7.44%,Third,39.22%,31.78%,10.03%,0.27%,15.85%,0.46%,-21.55%,185125
Neyveli,RAJASEKAR R,36508,SABA.RAJENDRAN,54299,,,,,,,,,KALAISELVAN B,1557,JAGAN K,19749,CHANDIRAN S,450,,,,,,,None of the Above,1710,,,,,,,,,,,,,,,,,,,ARUMUGAM T,12674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VELMURUGAN T,30528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1766,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Tamizhaga Vaazhvurimai Katchi,30528,Pattali Makkal Katchi,19749,Communist Party of India  (Marxist),Naam Tamilar Katchi,17791,11.17%,Third,22.93%,34.10%,7.96%,0.28%,12.40%,0.98%,-31.80%,159241
Panruti,SATHYA.P,72353,PONKUMAR,69225,,,SARAVANAN S.R,1373,SIVAKOLUNDHU.P,18409,SRIKANTHU.S,428,MAHABOOBASHA.S,1262,DHARMALINGAM.A,18666,,,,,,,,,None of the Above,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1761,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Pattali Makkal Katchi,18666,Desiya Murpokku Dravida Kazhagam,18409,Bharatiya Janata Party,Naam Tamilar Katchi,3128,1.69%,Third,39.01%,37.33%,9.93%,0.74%,10.06%,0.68%,-21.98%,185465
Cuddalore,SAMPATH M C,70922,PUGAZHENDI ELA,46509,,,SELVAM P,1964,,,,,SEEMAN,12497,THAMARAIKANNAN PAZHA,16905,,,,,,,,,None of the Above,2062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHANDARASEKARAN A S,20608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1221,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Tamil Maanila Congress  (Moopanar),20608,Pattali Makkal Katchi,16905,Naam Tamilar Katchi,Bharatiya Janata Party,24413,14.14%,Fourth,41.07%,26.93%,11.93%,1.14%,9.79%,7.24%,-17.86%,172688
Kurinjipadi,RAJENDRAN R,54756,PANNEERSELVAM MRK,82864,,,SHAKTHI GANAPATHY MU,957,BALAMURUGAN KMS,21063,SENTHILMURUGAN S,288,JALADEEPAN V,1534,MUTHUKRISHNAN S,22705,,,,,,,,,None of the Above,1541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2497,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Pattali Makkal Katchi,22705,Desiya Murpokku Dravida Kazhagam,21063,Naam Tamilar Katchi,Bharatiya Janata Party,28108,14.93%,Fourth,29.09%,44.03%,11.19%,0.51%,12.06%,0.82%,-11.94%,188205
Bhuvanagiri,SELVI RAMAJAYAM,55066,SARAVANAN  DURAI K.,60554,,,MUTHU A,910,,,NITHIYANANDAN  P.,464,RATHINAVEL RA,1091,ASHOKKUMAR,33681,,,,,,,,,None of the Above,1132,,,,,SINTHANAI SELVAN,33662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,4294,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Pattali Makkal Katchi,33681,Viduthalai Chiruthaigal Katchi,33662,Independent,Naam Tamilar Katchi,5488,2.88%,Third,28.85%,31.73%,17.64%,0.48%,17.65%,0.57%,-36.54%,190854
Chidambaram,PANDIAN K A,58543,SENTHILKUMAR K R,57037,,,MANIMARAN G,1079,,,,,SATHISHKUMAR B (A) BAAKYAA,1295,ARUL R,24226,,,,,,,,,None of the Above,1714,,,,,,,,,,,,,,,,,,,BALAKRISHNAN K,23314,,,,,,,,,,,,,,,,,,,,,,,ABDUL SATTHAR G,1775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1636,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Pattali Makkal Katchi,24226,Communist Party of India  (Marxist),23314,SOCIAL DEMOCRATIC PARTY OF INDIA,Naam Tamilar Katchi,1506,0.88%,Third,34.31%,33.43%,13.66%,0.63%,14.20%,0.76%,-31.38%,170619
Kattumannarkoil(SC),MURUGUMARAN.N,48450,,,MANIRATHINEM. DR .K.I,37346,SARAVANAN.S.P,822,,,KALAIVANAN.S,380,JAYASRI.E,1055,SOZHAN.ANBU,25890,,,,,,,,,None of the Above,1025,,,,,THIRUMAAVALAVAN.THOL,48363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1855,All India Anna Dravida Munnetra Kazhagam,Viduthalai Chiruthaigal Katchi,Indian National Congress,37346,Pattali Makkal Katchi,25890,Independent,Naam Tamilar Katchi,87,0.05%,Third,29.33%,22.61%,29.28%,0.50%,15.67%,0.64%,-48.01%,165186
Sirkazhi,BHARATHI.P.V,76487,KILLAI RAVINDRAN.S,67484,,,ELAVALAGAN.M.R.S,1187,UMANATH.R,12060,GAJENDRAN.K,300,JOTHI.B,1430,MUTHUKUMAR.PON,14890,,,,,,,,,None of the Above,1360,,,,,,,,,,,,,,,KALAIVANI.P,822,,,,,,,SASIDHARAN.M,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1504,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Pattali Makkal Katchi,14890,Desiya Murpokku Dravida Kazhagam,12060,Naam Tamilar Katchi,Bharatiya Janata Party,9003,5.07%,Third,43.05%,37.98%,6.79%,0.67%,8.38%,0.80%,-13.91%,177685
Mayiladuthurai,RATHAKRISHNAN.V,70949,ANBAZHAGAN.K,66171,,,MUTHUKUMARASAMY.C,1926,ARULSELVAN.R,12294,SIVAKUMAR.S,360,SHAHUL HAMEED.J,1672,AYYAPPAN.A,13115,,,,,,,,,None of the Above,1688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,681,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Pattali Makkal Katchi,13115,Desiya Murpokku Dravida Kazhagam,12294,Bharatiya Janata Party,Naam Tamilar Katchi,4778,2.83%,Third,42.02%,39.19%,7.28%,1.14%,7.77%,0.99%,-15.97%,168856
Poompuhar,PAVUNRAJ.S,87666,,,,,,,,,ELANCHEZHIYAN.T,829,KALIYAPERUMAL.S,1946,ANBALAGAN.R,16241,SELVAMUTHUKUMARAN.G,684,,,,,,,None of the Above,1478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SANKAR.M,14806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHAJAHAN.A.M,67731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1377,All India Anna Dravida Munnetra Kazhagam,Indian Union Muslim League,Pattali Makkal Katchi,16241,Tamil Maanila Congress  (Moopanar),14806,Naam Tamilar Katchi,Bahujan Samaj Party,19935,10.34%,Fourth,45.48%,35.14%,7.68%,0.35%,8.43%,1.01%,-9.04%,192758
Nagapattinam,THAMIMUN ANSARI.M,64903,,,,,NETHAJI.K,6005,,,PANNEERSELVAM.R,139,NIRAINTHA SELVAM.T,1557,BALRAJ.A,1036,,,,,,,,,None of the Above,996,,,,,,,,,,,,,,,DR.SUNDARAVADIVELAN.T,330,,,,,,,,,,,DHAMEEM ANSARI SAHIB.A.B,11088,,,,,,,,,,,DURAI.V,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOHAMED JAFARULLAH.A,44353,,,,,,,,,,,,,,,,,,,,,,,,,,,KESAVARAJ.A,201,,,MAHENDRAN.R,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3313,All India Anna Dravida Munnetra Kazhagam,Manithaneya Makkal Katchi,Communist Party of India,11088,Bharatiya Janata Party,6005,Naam Tamilar Katchi,Pattali Makkal Katchi,20550,15.29%,unknown,48.28%,32.99%,8.25%,4.47%,0.77%,1.16%,-3.45%,134439
Kilvelur,MEENA.N,51829,MATHIVANAN.U,61999,,,KUMAR.S,1142,,,JAYAPRAKASH.K,511,PALANIVEL.G,1553,VANITHA.A,2637,,,,,,,,,None of the Above,1049,,,,,,,,,,,,,,,,,,,NAGAIMAALI.V.P,16499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAMRAJA.K,381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,329,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Communist Party of India  (Marxist),16499,Pattali Makkal Katchi,2637,Naam Tamilar Katchi,Bharatiya Janata Party,10170,7.37%,Third,37.58%,44.95%,11.96%,0.83%,1.91%,1.13%,-10.10%,137929
Vedaranyam,MANIAN.O.S,60836,,,RAJENDIRAN.P.V,37838,VETHARATHINAM.S.K,37086,VAIRAVANATHAN.T,4594,MURUGAVELU.S,695,RAJENDRAN.K,1386,USHA KANNAN,2081,,,,,,,,,None of the Above,1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUSILA.N,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,902,All India Anna Dravida Munnetra Kazhagam,Indian National Congress,Bharatiya Janata Party,37086,Desiya Murpokku Dravida Kazhagam,4594,Pattali Makkal Katchi,Naam Tamilar Katchi,22998,15.67%,Third,41.44%,25.77%,3.13%,25.26%,1.42%,0.94%,-17.12%,146803
Thiruthuraipoondi,UMAMAHESWARI. K,58877,ADALARASAN. P,72127,,,UDAYAKUMAR. G,3937,,,,,SARAVANAKUMAR. J.S,1844,RAJAMOHAN. S,2005,,,,,,,,,None of the Above,1768,,,,,,,,,,,,,,,,,,,,,,,,,,,ULAGANATHAN. K,33038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AYYAPPAN. T,870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1154,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Communist Party of India,33038,Bharatiya Janata Party,3937,Pattali Makkal Katchi,Naam Tamilar Katchi,13250,7.54%,Third,33.53%,41.07%,18.81%,2.24%,1.14%,1.05%,-17.86%,175620
Mannargudi,KAMARAJ. S,81200,RAJAA.T.R.B,91137,,,SIVAKUMAR. B,1744,MURUGAIYAN BABU. A,5966,,,BALAMURUGAN. E,1923,BALASUBRAMANIYAN. S,1983,,,,,,,,,None of the Above,1774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANNAI J.R.S .PANDIAN. J,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1130,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,5966,Pattali Makkal Katchi,1983,Naam Tamilar Katchi,Bharatiya Janata Party,9937,5.31%,unknown,43.40%,48.71%,3.19%,0.93%,1.06%,1.03%,-2.58%,187110
Thiruvarur,PANNERSELVAM .R,53107,KARUNANIDHI .M,121473,,,RENGADASS .N,1254,,,PADMANABAN .M,591,CHANDRASEKAR .THENDRAL,1427,SIVAKUMAR .R,1787,,,,,,,,,None of the Above,2177,,,,,,,,,,,,,,,,,,,,,,,,,,,MASILAMANI .P.S,13158,,,,,,,SUBASH BABU .M,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GANASAN .S,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1448,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Communist Party of India,13158,Pattali Makkal Katchi,1787,Naam Tamilar Katchi,Bharatiya Janata Party,68366,34.74%,unknown,26.99%,61.73%,6.69%,0.64%,0.91%,0.73%,23.45%,196795
Nannilam,KAMARAJ. R,100918,,,DURAIVELAN. S.M.B,79642,,,,,MURUGAVEL. S,620,ANBUSELVAM. S,1860,ELAVARASAN. E,5060,SARAVANAN. R,316,,,,,,,None of the Above,2182,,,,,,,,,,,,,,,,,,,SUNDARAMOORTHY.  G,11327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VIJAYAN. R,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2096,All India Anna Dravida Munnetra Kazhagam,Indian National Congress,Communist Party of India  (Marxist),11327,Pattali Makkal Katchi,5060,Naam Tamilar Katchi,Bahujan Samaj Party,21276,10.42%,unknown,49.43%,39.01%,5.55%,0.15%,2.48%,0.91%,-1.14%,204154
Thiruvidaimarudur,SETTU.U,77006,CHEZHIAAN.GOVI,77538,,,VASUDEVAN.S,1321,,,MADHAN.A,539,SULOCHANADEVI.R,1437,MADAHAIYAN.R.S,13709,,,,,,,,,None of the Above,1899,,,,,VIVEKANANDAN.S,10622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,858,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Pattali Makkal Katchi,13709,Viduthalai Chiruthaigal Katchi,10622,Naam Tamilar Katchi,Bharatiya Janata Party,532,0.29%,Third,41.64%,41.93%,5.74%,0.71%,7.41%,0.78%,-16.14%,184929
Kumbakonam,RATHNA.S,76591,G.ANBALAGAN,85048,,,ANNAMALAI,2934,PARAMASIVAM.D,8098,KALAVATHY.T,371,MANI SENTHIL,2937,K.VENKATRAMAN,8048,,,,,,,,,None of the Above,2593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KAMARAJ.P,179,,,,,,,AROKKIYARAJ.V,456,,,,,,,,,RAMKUMAR.S,130,,,,,,,,,,,,,,,,,,,,,,,4,1442,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,8098,Pattali Makkal Katchi,8048,Naam Tamilar Katchi,Bharatiya Janata Party,8457,4.48%,Fourth,40.56%,45.04%,4.29%,1.55%,4.26%,1.56%,-9.92%,188827
Papanasam,DORAIKKANNU .R,82614,,,LOGANATHAN .T.R,58249,GUNASEKARAN .T,2158,,,PALANISAMY .M.R,826,HUMAYUN KABIR .M.I,3864,ALAYAMANI .G,4963,,,,,,,,,None of the Above,1911,,,,,,,,,,,,,,,,,,,,,,,,,ABRAHAM PURUSOTHAMAN .P,492,,,,,,,,,,,,,,,,,MOHAMMED FAROOK.A,3043,,,JAYAKUMAR .D,18599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PALANIRAJAN .C,885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4944,All India Anna Dravida Munnetra Kazhagam,Indian National Congress,Tamil Maanila Congress  (Moopanar),18599,Pattali Makkal Katchi,4963,Naam Tamilar Katchi,SOCIAL DEMOCRATIC PARTY OF INDIA,24365,13.35%,unknown,45.26%,31.91%,10.19%,1.18%,2.72%,2.12%,-9.49%,182548
Thiruvaiyaru,M.G.M.SUBRAMANIAN,85700,DURAI.CHANDRASEKARAN,100043,,,,,,,,,K.R.SHANMUGHAM,1806,R.KANAKARAJ,1571,S.SIMIYON XAVIERRAJ,1072,,,,,,,None of the Above,1987,,,,,,,,,,,,,,,,,,,V.JEEVAKUMAR,8604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T.KAMARAJ,1161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1086,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Communist Party of India  (Marxist),8604,Naam Tamilar Katchi,1806,Pattali Makkal Katchi,Tamilaga Makkal Munnetra Kazhagam,14343,7.06%,unknown,42.21%,49.27%,4.24%,0.53%,0.77%,0.89%,-1.45%,203030
Thanjavur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,,unknown,,,,,,,,0
Orathanadu,VAITHILINGAM. R,80733,RAMCHANDRAN. M,84378,,,KESAVAN. T,1003,RAMANATHAN. P,6351,JAYAPAL. A,739,KANDHASAMY. M,1891,SARAVANA IYAPPAN. M,1444,,,,,,,,,None of the Above,1882,,,,,,,,,,,,,,,,,,,,,,,,,THANGARAJ. D,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAJA. K,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1251,Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,Desiya Murpokku Dravida Kazhagam,6351,Naam Tamilar Katchi,1891,Pattali Makkal Katchi,Bharatiya Janata Party,3645,2.02%,Third,44.85%,46.87%,3.53%,0.56%,0.80%,1.05%,-6.26%,180023
Pattukkottai,SEKAR. V,70631,,,MAHENDRAN. K,58273,MURUGANANTHAM. M,11039,SENTHILKUMAR. N,11231,,,GEETHA. K,2940,LAKSHMI. C,3607,,,,,,,,,None of the Above,1541,,,,,,,,,,,,,,,KUBENDRAN. C,1089,,,,,,,,,,,,,,,,,,,,,,,,,,,MOHAMED ILIYAS. Z,3923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VIVEKANANDAN. J,513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1103,All India Anna Dravida Munnetra Kazhagam,Indian National Congress,Desiya Murpokku Dravida Kazhagam,11231,Bharatiya Janata Party,11039,SOCIAL DEMOCRATIC PARTY OF INDIA,Pattali Makkal Katchi,12358,7.45%,Fourth,42.58%,35.13%,6.77%,6.65%,2.17%,1.77%,-14.85%,165890
Peravurani,GOVINDARASU M,73908,ASHOK KUMAR N,72913,,,ELANGO R,4612,,,,,BALADHANDAYUTHAM K,1602,THIYAGARAJAN P,421,,,,,,,,,None of the Above,1294,,,,,,,,,,,,,,,,,,,,,,,,,,,THAMAYANTHI T,5816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GURUMURTHY M,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,791,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Communist Party of India,5816,Bharatiya Janata Party,4612,Naam Tamilar Katchi,Tamilaga Makkal Munnetra Kazhagam,995,0.61%,Third,45.65%,45.04%,3.59%,2.85%,0.26%,0.99%,-8.70%,161897
